Z,Age,mbol,F300W,F336W,F439W,F450W,F555W,F606W,F814W
0.0059,5.00E+08,3.412,3.903,3.828,3.915,3.852,3.688,3.585,3.258
0.006,5.00E+08,3.415,3.908,3.833,3.917,3.854,3.69,3.587,3.26
0.0061,5.00E+08,3.418,3.913,3.837,3.918,3.855,3.69,3.588,3.261
0.0062,5.00E+08,3.421,3.918,3.841,3.919,3.856,3.691,3.588,3.261
0.0063,5.00E+08,3.423,3.922,3.845,3.92,3.857,3.692,3.589,3.262
0.0064,5.00E+08,3.426,3.927,3.849,3.921,3.858,3.693,3.59,3.263
0.0065,5.00E+08,3.429,3.932,3.853,3.922,3.859,3.694,3.591,3.264
0.0066,5.00E+08,3.432,3.936,3.856,3.923,3.861,3.695,3.592,3.266
0.0067,5.00E+08,3.435,3.941,3.86,3.924,3.862,3.696,3.594,3.267
0.0068,5.00E+08,3.438,3.945,3.864,3.926,3.863,3.697,3.595,3.268
0.0069,5.00E+08,3.441,3.95,3.868,3.927,3.864,3.699,3.596,3.27
0.007,5.00E+08,3.444,3.954,3.872,3.928,3.866,3.7,3.598,3.272
0.0071,5.00E+08,3.447,3.959,3.875,3.93,3.867,3.701,3.599,3.274
0.0072,5.00E+08,3.45,3.963,3.879,3.931,3.868,3.703,3.6,3.275
0.0073,5.00E+08,3.453,3.967,3.883,3.932,3.87,3.704,3.602,3.277
0.0074,5.00E+08,3.456,3.971,3.886,3.934,3.871,3.705,3.603,3.279
0.0075,5.00E+08,3.459,3.976,3.89,3.935,3.873,3.707,3.605,3.281
0.0076,5.00E+08,3.462,3.98,3.893,3.936,3.874,3.708,3.606,3.283
0.0077,5.00E+08,3.465,3.984,3.897,3.937,3.875,3.71,3.608,3.285
0.0078,5.00E+08,3.468,3.988,3.9,3.939,3.877,3.711,3.609,3.286
0.0079,5.00E+08,3.472,3.992,3.903,3.94,3.878,3.712,3.611,3.289
0.008,5.00E+08,3.475,3.996,3.907,3.941,3.879,3.714,3.612,3.29
0.0081,5.00E+08,3.476,3.996,3.907,3.941,3.879,3.715,3.614,3.294
0.0082,5.00E+08,3.475,3.995,3.906,3.938,3.877,3.713,3.613,3.292
0.0083,5.00E+08,3.474,3.994,3.905,3.936,3.875,3.711,3.611,3.291
0.0084,5.00E+08,3.474,3.995,3.905,3.934,3.873,3.709,3.609,3.29
0.0085,5.00E+08,3.473,3.995,3.905,3.932,3.871,3.708,3.608,3.289
0.0086,5.00E+08,3.473,3.996,3.906,3.93,3.87,3.706,3.606,3.288
0.0087,5.00E+08,3.474,3.998,3.907,3.929,3.868,3.705,3.606,3.287
0.0088,5.00E+08,3.474,4,3.908,3.928,3.868,3.704,3.605,3.287
0.0089,5.00E+08,3.475,4.002,3.91,3.928,3.867,3.704,3.604,3.286
0.009,5.00E+08,3.477,4.005,3.912,3.928,3.867,3.704,3.604,3.286
0.0091,5.00E+08,3.48,4.009,3.915,3.928,3.868,3.705,3.606,3.289
0.0092,5.00E+08,3.48,4.015,3.919,3.93,3.869,3.704,3.604,3.284
0.0093,5.00E+08,3.483,4.022,3.925,3.934,3.873,3.706,3.606,3.284
0.0094,5.00E+08,3.486,4.029,3.931,3.938,3.876,3.709,3.608,3.285
0.0095,5.00E+08,3.49,4.036,3.937,3.942,3.88,3.712,3.61,3.287
0.0096,5.00E+08,3.495,4.043,3.943,3.947,3.884,3.715,3.614,3.289
0.0097,5.00E+08,3.5,4.05,3.949,3.952,3.889,3.72,3.618,3.293
0.0098,5.00E+08,3.505,4.057,3.956,3.957,3.894,3.725,3.623,3.297
0.0099,5.00E+08,3.511,4.064,3.962,3.962,3.899,3.73,3.628,3.303
0.01,5.00E+08,3.519,4.072,3.969,3.968,3.906,3.737,3.635,3.31
0.0101,5.00E+08,3.521,4.075,3.972,3.969,3.907,3.738,3.637,3.312
0.0102,5.00E+08,3.523,4.078,3.974,3.97,3.908,3.739,3.638,3.313
0.0103,5.00E+08,3.525,4.081,3.977,3.971,3.909,3.74,3.639,3.314
0.0104,5.00E+08,3.527,4.084,3.98,3.973,3.91,3.741,3.639,3.315
0.0105,5.00E+08,3.529,4.088,3.982,3.974,3.911,3.742,3.64,3.316
0.0106,5.00E+08,3.531,4.091,3.985,3.975,3.912,3.742,3.641,3.317
0.0107,5.00E+08,3.533,4.094,3.987,3.976,3.914,3.743,3.642,3.318
0.0108,5.00E+08,3.535,4.097,3.99,3.977,3.915,3.744,3.643,3.319
0.0109,5.00E+08,3.537,4.1,3.992,3.978,3.916,3.745,3.644,3.319
0.011,5.00E+08,3.539,4.103,3.995,3.98,3.917,3.746,3.645,3.32
0.0111,5.00E+08,3.541,4.106,3.997,3.981,3.918,3.747,3.646,3.321
0.0112,5.00E+08,3.543,4.109,4,3.982,3.919,3.748,3.647,3.322
0.0113,5.00E+08,3.544,4.113,4.002,3.983,3.92,3.749,3.647,3.323
0.0114,5.00E+08,3.546,4.116,4.005,3.984,3.921,3.75,3.648,3.324
0.0115,5.00E+08,3.548,4.119,4.007,3.986,3.923,3.751,3.649,3.325
0.0116,5.00E+08,3.55,4.122,4.01,3.987,3.924,3.752,3.65,3.325
0.0117,5.00E+08,3.552,4.125,4.012,3.988,3.925,3.753,3.651,3.326
0.0118,5.00E+08,3.554,4.128,4.015,3.989,3.926,3.754,3.652,3.327
0.0119,5.00E+08,3.555,4.131,4.017,3.99,3.927,3.755,3.653,3.328
0.012,5.00E+08,3.557,4.134,4.02,3.992,3.928,3.756,3.654,3.329
0.0121,5.00E+08,3.559,4.137,4.022,3.993,3.93,3.756,3.654,3.33
0.0122,5.00E+08,3.561,4.14,4.024,3.994,3.931,3.757,3.655,3.33
0.0123,5.00E+08,3.562,4.143,4.027,3.995,3.932,3.758,3.656,3.331
0.0124,5.00E+08,3.564,4.146,4.029,3.996,3.933,3.759,3.657,3.332
0.0125,5.00E+08,3.566,4.149,4.032,3.998,3.934,3.76,3.658,3.333
0.0126,5.00E+08,3.568,4.152,4.034,3.999,3.935,3.761,3.659,3.333
0.0127,5.00E+08,3.569,4.155,4.036,4,3.937,3.762,3.66,3.334
0.0128,5.00E+08,3.571,4.158,4.039,4.002,3.938,3.763,3.661,3.335
0.0129,5.00E+08,3.573,4.161,4.041,4.003,3.939,3.764,3.661,3.336
0.013,5.00E+08,3.575,4.165,4.044,4.004,3.94,3.765,3.662,3.337
0.0131,5.00E+08,3.576,4.167,4.046,4.005,3.941,3.766,3.663,3.337
0.0132,5.00E+08,3.578,4.171,4.048,4.007,3.943,3.767,3.664,3.338
0.0133,5.00E+08,3.58,4.174,4.051,4.008,3.944,3.768,3.665,3.339
0.0134,5.00E+08,3.582,4.177,4.053,4.009,3.945,3.769,3.666,3.34
0.0135,5.00E+08,3.583,4.18,4.056,4.011,3.946,3.77,3.667,3.34
0.0136,5.00E+08,3.585,4.183,4.058,4.012,3.948,3.771,3.668,3.341
0.0137,5.00E+08,3.587,4.186,4.06,4.014,3.949,3.772,3.668,3.342
0.0138,5.00E+08,3.588,4.189,4.063,4.015,3.95,3.773,3.669,3.343
0.0139,5.00E+08,3.59,4.192,4.065,4.016,3.951,3.774,3.67,3.343
0.014,5.00E+08,3.592,4.195,4.068,4.018,3.953,3.775,3.671,3.344
0.0141,5.00E+08,3.594,4.197,4.07,4.019,3.954,3.776,3.672,3.345
0.0142,5.00E+08,3.595,4.2,4.072,4.02,3.955,3.777,3.673,3.346
0.0143,5.00E+08,3.596,4.203,4.074,4.021,3.956,3.777,3.674,3.346
0.0144,5.00E+08,3.598,4.205,4.076,4.022,3.957,3.778,3.675,3.347
0.0145,5.00E+08,3.599,4.208,4.078,4.023,3.958,3.779,3.675,3.347
0.0146,5.00E+08,3.601,4.211,4.079,4.024,3.959,3.78,3.676,3.348
0.0147,5.00E+08,3.602,4.213,4.081,4.025,3.96,3.781,3.677,3.348
0.0148,5.00E+08,3.603,4.216,4.083,4.026,3.961,3.781,3.678,3.349
0.0149,5.00E+08,3.605,4.218,4.085,4.028,3.962,3.782,3.678,3.349
0.015,5.00E+08,3.606,4.221,4.087,4.029,3.963,3.783,3.679,3.35
0.0151,5.00E+08,3.607,4.224,4.089,4.03,3.964,3.784,3.68,3.35
0.0152,5.00E+08,3.609,4.226,4.091,4.031,3.965,3.784,3.681,3.351
0.0153,5.00E+08,3.61,4.229,4.093,4.032,3.966,3.785,3.681,3.351
0.0154,5.00E+08,3.611,4.231,4.095,4.033,3.967,3.786,3.682,3.352
0.0155,5.00E+08,3.613,4.234,4.097,4.034,3.968,3.787,3.683,3.352
0.0156,5.00E+08,3.614,4.236,4.099,4.035,3.969,3.788,3.683,3.353
0.0157,5.00E+08,3.615,4.239,4.1,4.036,3.97,3.788,3.684,3.353
0.0158,5.00E+08,3.616,4.241,4.102,4.037,3.971,3.789,3.685,3.354
0.0159,5.00E+08,3.618,4.244,4.104,4.038,3.972,3.79,3.686,3.354
0.016,5.00E+08,3.619,4.246,4.106,4.039,3.973,3.791,3.686,3.355
0.0161,5.00E+08,3.62,4.249,4.108,4.04,3.974,3.792,3.687,3.355
0.0162,5.00E+08,3.622,4.251,4.11,4.041,3.975,3.792,3.688,3.356
0.0163,5.00E+08,3.623,4.254,4.111,4.042,3.976,3.793,3.689,3.356
0.0164,5.00E+08,3.624,4.256,4.113,4.043,3.977,3.794,3.689,3.357
0.0165,5.00E+08,3.625,4.258,4.115,4.044,3.978,3.795,3.69,3.357
0.0166,5.00E+08,3.627,4.261,4.117,4.045,3.979,3.795,3.691,3.358
0.0167,5.00E+08,3.628,4.263,4.119,4.046,3.98,3.796,3.692,3.358
0.0168,5.00E+08,3.629,4.266,4.121,4.048,3.981,3.797,3.692,3.359
0.0169,5.00E+08,3.63,4.268,4.122,4.049,3.982,3.798,3.693,3.359
0.017,5.00E+08,3.632,4.271,4.124,4.05,3.983,3.799,3.694,3.36
0.0171,5.00E+08,3.633,4.273,4.126,4.051,3.985,3.8,3.695,3.361
0.0172,5.00E+08,3.634,4.276,4.128,4.053,3.986,3.801,3.696,3.362
0.0173,5.00E+08,3.635,4.279,4.13,4.054,3.987,3.802,3.697,3.362
0.0174,5.00E+08,3.637,4.281,4.132,4.055,3.988,3.803,3.698,3.362
0.0175,5.00E+08,3.638,4.284,4.134,4.057,3.989,3.804,3.699,3.363
0.0176,5.00E+08,3.639,4.286,4.136,4.058,3.991,3.805,3.699,3.363
0.0177,5.00E+08,3.64,4.288,4.138,4.059,3.992,3.806,3.7,3.364
0.0178,5.00E+08,3.641,4.291,4.14,4.06,3.993,3.807,3.701,3.364
0.0179,5.00E+08,3.642,4.293,4.142,4.061,3.994,3.808,3.702,3.364
0.018,5.00E+08,3.643,4.296,4.144,4.063,3.995,3.808,3.703,3.365
0.0181,5.00E+08,3.643,4.298,4.145,4.064,3.996,3.809,3.703,3.365
0.0182,5.00E+08,3.644,4.301,4.147,4.065,3.997,3.81,3.704,3.365
0.0183,5.00E+08,3.645,4.303,4.149,4.066,3.998,3.811,3.705,3.365
0.0184,5.00E+08,3.646,4.305,4.151,4.067,3.999,3.812,3.706,3.366
0.0185,5.00E+08,3.647,4.307,4.153,4.068,4,3.812,3.706,3.366
0.0186,5.00E+08,3.648,4.31,4.154,4.069,4.001,3.813,3.707,3.366
0.0187,5.00E+08,3.649,4.312,4.156,4.07,4.002,3.814,3.708,3.367
0.0188,5.00E+08,3.649,4.314,4.158,4.071,4.003,3.815,3.708,3.367
0.0189,5.00E+08,3.65,4.317,4.159,4.073,4.004,3.815,3.709,3.367
0.019,5.00E+08,3.651,4.319,4.161,4.074,4.005,3.816,3.709,3.367
0.0191,5.00E+08,3.652,4.321,4.163,4.075,4.006,3.817,3.71,3.367
0.0192,5.00E+08,3.653,4.323,4.164,4.076,4.007,3.817,3.711,3.368
0.0193,5.00E+08,3.653,4.325,4.166,4.077,4.008,3.818,3.711,3.368
0.0194,5.00E+08,3.654,4.328,4.168,4.078,4.009,3.819,3.712,3.368
0.0195,5.00E+08,3.655,4.33,4.169,4.079,4.01,3.82,3.712,3.368
0.0196,5.00E+08,3.656,4.332,4.171,4.08,4.011,3.82,3.713,3.369
0.0197,5.00E+08,3.656,4.334,4.173,4.081,4.012,3.821,3.714,3.369
0.0198,5.00E+08,3.657,4.336,4.174,4.082,4.013,3.822,3.714,3.369
0.0199,5.00E+08,3.658,4.338,4.176,4.083,4.014,3.822,3.715,3.369
0.02,5.00E+08,3.659,4.34,4.177,4.084,4.015,3.823,3.715,3.369
0.0201,5.00E+08,3.66,4.342,4.178,4.084,4.015,3.823,3.715,3.37
0.0202,5.00E+08,3.66,4.344,4.179,4.085,4.016,3.824,3.716,3.37
0.0203,5.00E+08,3.661,4.346,4.181,4.086,4.017,3.824,3.717,3.371
0.0204,5.00E+08,3.662,4.348,4.182,4.087,4.018,3.825,3.717,3.371
0.0205,5.00E+08,3.663,4.35,4.184,4.088,4.019,3.826,3.718,3.371
0.0206,5.00E+08,3.664,4.352,4.185,4.089,4.02,3.827,3.718,3.372
0.0207,5.00E+08,3.665,4.354,4.187,4.09,4.02,3.827,3.719,3.372
0.0208,5.00E+08,3.666,4.356,4.188,4.091,4.021,3.828,3.72,3.373
0.0209,5.00E+08,3.667,4.358,4.19,4.092,4.022,3.829,3.72,3.373
0.021,5.00E+08,3.667,4.36,4.191,4.093,4.023,3.829,3.721,3.374
0.0211,5.00E+08,3.668,4.362,4.193,4.094,4.024,3.83,3.721,3.374
0.0212,5.00E+08,3.669,4.364,4.194,4.095,4.025,3.831,3.722,3.374
0.0213,5.00E+08,3.67,4.366,4.196,4.096,4.026,3.831,3.723,3.375
0.0214,5.00E+08,3.671,4.368,4.197,4.097,4.027,3.832,3.723,3.375
0.0215,5.00E+08,3.672,4.37,4.199,4.098,4.028,3.833,3.724,3.375
0.0216,5.00E+08,3.672,4.372,4.2,4.099,4.029,3.833,3.724,3.376
0.0217,5.00E+08,3.673,4.374,4.201,4.1,4.029,3.834,3.725,3.376
0.0218,5.00E+08,3.674,4.376,4.203,4.101,4.03,3.835,3.726,3.376
0.0219,5.00E+08,3.675,4.378,4.204,4.102,4.031,3.835,3.726,3.377
0.022,5.00E+08,3.676,4.38,4.206,4.103,4.032,3.836,3.727,3.377
0.0221,5.00E+08,3.677,4.382,4.207,4.104,4.033,3.837,3.727,3.378
0.0222,5.00E+08,3.678,4.384,4.209,4.105,4.034,3.837,3.728,3.378
0.0223,5.00E+08,3.678,4.386,4.21,4.106,4.035,3.838,3.729,3.379
0.0224,5.00E+08,3.679,4.388,4.212,4.107,4.036,3.839,3.729,3.379
0.0225,5.00E+08,3.68,4.39,4.213,4.108,4.037,3.839,3.73,3.379
0.0226,5.00E+08,3.681,4.392,4.215,4.109,4.038,3.84,3.73,3.38
0.0227,5.00E+08,3.682,4.394,4.216,4.11,4.039,3.841,3.731,3.38
0.0228,5.00E+08,3.683,4.396,4.218,4.111,4.04,3.842,3.732,3.381
0.0229,5.00E+08,3.684,4.397,4.219,4.112,4.04,3.842,3.732,3.381
0.023,5.00E+08,3.684,4.399,4.22,4.113,4.041,3.843,3.733,3.381
0.0231,5.00E+08,3.685,4.401,4.222,4.114,4.042,3.844,3.733,3.382
0.0232,5.00E+08,3.686,4.403,4.223,4.115,4.043,3.844,3.734,3.382
0.0233,5.00E+08,3.687,4.405,4.225,4.116,4.044,3.845,3.735,3.383
0.0234,5.00E+08,3.688,4.407,4.226,4.117,4.045,3.846,3.735,3.383
0.0235,5.00E+08,3.689,4.409,4.228,4.118,4.046,3.846,3.736,3.383
0.0236,5.00E+08,3.689,4.411,4.229,4.119,4.047,3.847,3.736,3.384
0.0237,5.00E+08,3.69,4.413,4.23,4.12,4.048,3.848,3.737,3.384
0.0238,5.00E+08,3.691,4.415,4.232,4.121,4.049,3.848,3.738,3.385
0.0239,5.00E+08,3.692,4.417,4.233,4.122,4.05,3.849,3.738,3.385
0.024,5.00E+08,3.693,4.419,4.235,4.123,4.05,3.85,3.739,3.386
0.0241,5.00E+08,3.694,4.421,4.236,4.124,4.051,3.85,3.739,3.386
0.0242,5.00E+08,3.694,4.423,4.238,4.125,4.052,3.851,3.74,3.386
0.0243,5.00E+08,3.695,4.425,4.239,4.126,4.053,3.852,3.741,3.387
0.0244,5.00E+08,3.696,4.427,4.24,4.127,4.054,3.852,3.741,3.387
0.0245,5.00E+08,3.697,4.429,4.242,4.128,4.055,3.853,3.742,3.388
0.0246,5.00E+08,3.698,4.431,4.243,4.129,4.056,3.854,3.742,3.388
0.0247,5.00E+08,3.699,4.432,4.245,4.13,4.057,3.854,3.743,3.388
0.0248,5.00E+08,3.699,4.434,4.246,4.131,4.058,3.855,3.743,3.389
0.0249,5.00E+08,3.7,4.436,4.247,4.132,4.059,3.856,3.744,3.389
0.025,5.00E+08,3.701,4.438,4.249,4.133,4.06,3.857,3.745,3.39
0.0251,5.00E+08,3.702,4.44,4.25,4.134,4.061,3.857,3.745,3.39
0.0252,5.00E+08,3.703,4.442,4.252,4.135,4.062,3.858,3.746,3.39
0.0253,5.00E+08,3.704,4.444,4.253,4.136,4.062,3.859,3.746,3.391
0.0254,5.00E+08,3.704,4.446,4.255,4.137,4.063,3.859,3.747,3.391
0.0255,5.00E+08,3.705,4.448,4.256,4.138,4.064,3.86,3.748,3.392
0.0256,5.00E+08,3.706,4.45,4.257,4.139,4.065,3.861,3.748,3.392
0.0257,5.00E+08,3.707,4.452,4.259,4.14,4.066,3.861,3.749,3.392
0.0258,5.00E+08,3.708,4.454,4.26,4.141,4.067,3.862,3.749,3.393
0.0259,5.00E+08,3.708,4.455,4.262,4.142,4.068,3.863,3.75,3.393
0.026,5.00E+08,3.709,4.457,4.263,4.143,4.069,3.864,3.751,3.394
0.0261,5.00E+08,3.71,4.459,4.264,4.144,4.07,3.864,3.751,3.394
0.0262,5.00E+08,3.711,4.461,4.266,4.145,4.071,3.865,3.752,3.394
0.0263,5.00E+08,3.712,4.463,4.267,4.146,4.072,3.866,3.752,3.395
0.0264,5.00E+08,3.713,4.465,4.269,4.147,4.073,3.866,3.753,3.395
0.0265,5.00E+08,3.713,4.467,4.27,4.148,4.074,3.867,3.754,3.396
0.0266,5.00E+08,3.714,4.469,4.271,4.149,4.075,3.868,3.754,3.396
0.0267,5.00E+08,3.715,4.471,4.273,4.151,4.076,3.868,3.755,3.397
0.0268,5.00E+08,3.716,4.472,4.274,4.151,4.077,3.869,3.755,3.397
0.0269,5.00E+08,3.717,4.474,4.276,4.153,4.078,3.87,3.756,3.397
0.027,5.00E+08,3.718,4.476,4.277,4.154,4.079,3.87,3.757,3.398
0.0271,5.00E+08,3.718,4.478,4.279,4.155,4.08,3.871,3.757,3.398
0.0272,5.00E+08,3.719,4.48,4.28,4.156,4.08,3.872,3.758,3.399
0.0273,5.00E+08,3.72,4.482,4.281,4.157,4.081,3.873,3.759,3.399
0.0274,5.00E+08,3.721,4.484,4.283,4.158,4.082,3.873,3.759,3.399
0.0275,5.00E+08,3.722,4.486,4.284,4.159,4.083,3.874,3.76,3.4
0.0276,5.00E+08,3.722,4.488,4.285,4.16,4.084,3.875,3.76,3.4
0.0277,5.00E+08,3.723,4.489,4.287,4.161,4.085,3.875,3.761,3.401
0.0278,5.00E+08,3.724,4.491,4.288,4.162,4.086,3.876,3.762,3.401
0.0279,5.00E+08,3.725,4.493,4.29,4.163,4.087,3.877,3.762,3.402
0.028,5.00E+08,3.726,4.495,4.291,4.164,4.088,3.878,3.763,3.402
0.0281,5.00E+08,3.727,4.497,4.292,4.165,4.089,3.878,3.763,3.402
0.0282,5.00E+08,3.727,4.499,4.294,4.166,4.09,3.879,3.764,3.403
0.0283,5.00E+08,3.728,4.501,4.295,4.167,4.091,3.88,3.765,3.403
0.0284,5.00E+08,3.729,4.503,4.297,4.168,4.092,3.88,3.765,3.404
0.0285,5.00E+08,3.73,4.504,4.298,4.169,4.093,3.881,3.766,3.404
0.0286,5.00E+08,3.731,4.506,4.299,4.17,4.094,3.882,3.766,3.404
0.0287,5.00E+08,3.731,4.508,4.301,4.171,4.095,3.882,3.767,3.405
0.0288,5.00E+08,3.732,4.51,4.302,4.173,4.096,3.883,3.768,3.405
0.0289,5.00E+08,3.733,4.512,4.303,4.174,4.097,3.884,3.768,3.406
0.029,5.00E+08,3.734,4.514,4.305,4.175,4.098,3.885,3.769,3.406
0.0291,5.00E+08,3.735,4.516,4.306,4.176,4.099,3.885,3.769,3.407
0.0292,5.00E+08,3.735,4.517,4.308,4.177,4.1,3.886,3.77,3.407
0.0293,5.00E+08,3.736,4.519,4.309,4.178,4.101,3.887,3.771,3.407
0.0294,5.00E+08,3.737,4.521,4.31,4.179,4.102,3.887,3.771,3.408
0.0295,5.00E+08,3.738,4.523,4.312,4.18,4.102,3.888,3.772,3.408
0.0296,5.00E+08,3.739,4.525,4.313,4.181,4.103,3.889,3.772,3.409
0.0297,5.00E+08,3.739,4.527,4.314,4.182,4.104,3.89,3.773,3.409
0.0298,5.00E+08,3.74,4.529,4.316,4.183,4.105,3.89,3.774,3.409
0.0299,5.00E+08,3.741,4.53,4.317,4.184,4.106,3.891,3.774,3.41
0.03,5.00E+08,3.742,4.532,4.319,4.185,4.107,3.892,3.775,3.41
